pico_step,pico_rad,pico_deg,pico_seg,pico_step_err,pico_rad_err,pico_deg_err,pico_ev,pico_t,pico_r,pico_ev_err,pico_r_err
16,0.25132741228718347,14.4,100,0.05,0.0007853981633974483,0.045000000000000005,1235,7566.8699996471405,587.5613034461179,35.14256678161116,16.719362222385183
18,0.28274333882308134,16.2,10,0.05,0.0007853981633974483,0.045000000000000005,205,7546.140000343323,97.79834457966902,14.317821063276353,6.830532673055337
20,0.3141592653589793,18.0,10,0.05,0.0007853981633974483,0.045000000000000005,83,7357.259999990463,40.61294558033661,9.1104335791443,4.457849917627213
22,0.3455751918948773,19.8,1,0.05,0.0007853981633974483,0.045000000000000005,78,10855.469999790192,25.867143477475146,8.831760866327848,2.9288772498468285
24,0.37699111843077515,21.6,1,0.05,0.0007853981633974483,0.045000000000000005,50,10802.680000305176,16.66253188976393,7.0710678118654755,2.3564378581978347
26,0.4084070449666731,23.400000000000002,1,0.05,0.0007853981633974483,0.045000000000000005,64,18696.10000038147,12.323425740945918,8.0,1.5404282176182398
28,0.439822971502571,25.2,1,0.05,0.0007853981633974483,0.045000000000000005,33,18414.960000038147,6.451276570774735,5.744562646538029,1.1230231033623783
30,0.47123889803846897,27.0,1,0.05,0.0007853981633974483,0.045000000000000005,39,18083.07000017166,7.764168362931029,6.244997998398398,1.2432619457880112
35,0.5497787143782138,31.5,1,0.05,0.0007853981633974483,0.045000000000000005,34,43231.140000104904,2.8312924433568716,5.830951894845301,0.4855626481603803
40,0.6283185307179586,36.0,1,0.05,0.0007853981633974483,0.045000000000000005,47,87105.02999997139,1.9424825409055662,6.855654600401044,0.283340199313999
50,0.7853981633974483,45.0,1,0.05,0.0007853981633974483,0.045000000000000005,32,130240.47000050545,0.8845176925386781,5.656854249492381,0.15636211461839425
