pico_step,pico_rad,pico_deg,pico_seg,pico_step_err,pico_rad_err,pico_deg_err,pico_ev,pico_t,pico_r,pico_ev_err,pico_r_err
-12,-0.18849555921538758,-10.8,100,0.05,0.0007853981633974483,0.045000000000000005,25514,7212.030000448227,12735.720732483296,159.7310239120754,79.73229257889017
-10,-0.15707963267948966,-9.0,100,0.05,0.0007853981633974483,0.045000000000000005,23295,3602.649998664856,23277.864913627276,152.62699630144073,152.51472857169466
-8,-0.12566370614359174,-7.2,100,0.05,0.0007853981633974483,0.045000000000000005,33615,3602.7800018787384,33589.06176255418,183.34393908717027,183.20246597616935
-6,-0.09424777960769379,-5.4,100,0.05,0.0007853981633974483,0.045000000000000005,44299,3607.3100016117096,44209.230681241024,210.47327621339485,210.04676449478615
-4,-0.06283185307179587,-3.6,100,0.05,0.0007853981633974483,0.045000000000000005,49517,3355.7500019073486,53121.12043468062,222.52415599210798,238.72069168330927
-2,-0.031415926535897934,-1.8,100,0.05,0.0007853981633974483,0.045000000000000005,49514,2941.9800033569336,60588.583129935665,222.51741504880016,272.28692692052005
0,0.0,0.0,100,0.05,0.0007853981633974483,0.045000000000000005,49445,2831.720000743866,62860.02851738187,222.36231695141154,282.69191191742004
2,0.031415926535897934,1.8,100,0.05,0.0007853981633974483,0.045000000000000005,49481,2955.1700010299683,60277.953531578765,222.44325119005072,270.9812647005352
4,0.06283185307179587,3.6,100,0.05,0.0007853981633974483,0.045000000000000005,49486,3383.359997987747,52654.63920657407,222.4544897276744,236.69847828665144
6,0.09424777960769379,5.4,100,0.05,0.0007853981633974483,0.045000000000000005,42530,3604.3599989414215,42478.55376404324,206.22802913280242,205.97856626311832
8,0.12566370614359174,7.2,100,0.05,0.0007853981633974483,0.045000000000000005,32324,3611.4800016880035,32221.249998784548,179.78876494375282,179.2172609276504
10,0.15707963267948966,9.0,100,0.05,0.0007853981633974483,0.045000000000000005,21781,3605.8500010967255,21745.663290528162,147.58387445788242,147.3444396984845
12,0.18849555921538758,10.8,100,0.05,0.0007853981633974483,0.045000000000000005,25428,7211.099996328354,12694.429427772387,159.46159412222116,79.60806799687826
14,0.2199114857512855,12.6,100,0.05,0.0007853981633974483,0.045000000000000005,7947,7265.360000610352,3937.7539444152235,89.14594774862175,44.17199035809346
16,0.25132741228718347,14.4,100,0.05,0.0007853981633974483,0.045000000000000005,995,7696.909999370575,465.3815622493862,31.54362059117501,14.753587366555712
18,0.28274333882308134,16.2,10,0.05,0.0007853981633974483,0.045000000000000005,165,7332.350000143051,81.01086281866132,12.84523257866513,6.306687116994182
20,0.3141592653589793,18.0,10,0.05,0.0007853981633974483,0.045000000000000005,78,7861.329999923706,35.719146760500465,8.831760866327848,4.044396955615502
22,0.3455751918948773,19.8,1,0.05,0.0007853981633974483,0.045000000000000005,57,10852.559999465942,18.907981159293104,7.54983443527075,2.504423285225993
24,0.37699111843077515,21.6,1,0.05,0.0007853981633974483,0.045000000000000005,45,10818.570000171661,14.9742526043118,6.708203932499369,2.232229782366296
26,0.4084070449666731,23.400000000000002,1,0.05,0.0007853981633974483,0.045000000000000005,64,18076.740000247955,12.745660998434433,8.0,1.5932076248043041
28,0.439822971502571,25.2,1,0.05,0.0007853981633974483,0.045000000000000005,33,18641.569999694824,6.372853788706897,5.744562646538029,1.1093714492864848
30,0.47123889803846897,27.0,1,0.05,0.0007853981633974483,0.045000000000000005,16,18279.300000429153,3.151105348599109,4.0,0.7877763371497772
35,0.5497787143782138,31.5,1,0.05,0.0007853981633974483,0.045000000000000005,46,43317.079999923706,3.8229723702588374,6.782329983125268,0.5636665245970867
40,0.6283185307179586,36.0,1,0.05,0.0007853981633974483,0.045000000000000005,46,87375.11000037193,1.8952765839069623,6.782329983125268,0.2794432869858136
50,0.7853981633974483,45.0,1,0.05,0.0007853981633974483,0.045000000000000005,42,130442.70000004768,1.159129640830378,6.48074069840786,0.1788575866204837
60,0.9424777960769379,54.0,1,0.05,0.0007853981633974483,0.045000000000000005,9,43267.23000001907,0.7488346261127814,3.0,0.24961154203759378
