pico_step,pico_rad,pico_deg,pico_seg,pico_step_err,pico_rad_err,pico_deg_err,pico_ev,pico_t,pico_r,pico_ev_err,pico_r_err
-2,-0.031415926535897934,-1.8,100,0.05,0.0007853981633974483,0.045000000000000005,50000,2981.7600016593933,60367.031518240015,223.60679774997897,269.969572149314
0,0.0,0.0,100,0.05,0.0007853981633974483,0.045000000000000005,50000,2825.2999982833862,63710.04852913516,223.60679774997897,284.9199987219134
2,0.031415926535897934,1.8,100,0.05,0.0007853981633974483,0.045000000000000005,50000,2981.39000082016,60374.52327621788,223.60679774997897,270.003076309533
4,0.06283185307179587,3.6,100,0.05,0.0007853981633974483,0.045000000000000005,50000,3447.739998817444,52208.11315868918,223.60679774997897,233.48177999966052
6,0.09424777960769379,5.4,100,0.05,0.0007853981633974483,0.045000000000000005,42500,3607.099997520447,42416.34556989648,206.15528128088303,205.74949769103873
8,0.12566370614359174,7.2,100,0.05,0.0007853981633974483,0.045000000000000005,32200,3602.909998893738,32173.992699121784,179.4435844492636,179.2986514277904
10,0.15707963267948966,9.0,100,0.05,0.0007853981633974483,0.045000000000000005,21800,3611.570001602173,21730.161665199492,147.648230602334,147.1752257141914
12,0.18849555921538758,10.8,100,0.05,0.0007853981633974483,0.045000000000000005,24900,7210.120000362396,12432.525394236782,157.797338380595,78.78792837589242
14,0.2199114857512855,12.6,100,0.05,0.0007853981633974483,0.045000000000000005,8200,7233.950000762939,4080.7580916216766,90.55385138137417,45.064434360006025
16,0.25132741228718347,14.4,100,0.05,0.0007853981633974483,0.045000000000000005,1300,7566.8699996471405,618.485582574861,36.05551275463989,17.153703700837525
18,0.28274333882308134,16.2,10,0.05,0.0007853981633974483,0.045000000000000005,240,7546.140000343323,114.49562292253935,15.491933384829668,7.3906606798773185
20,0.3141592653589793,18.0,10,0.05,0.0007853981633974483,0.045000000000000005,110,7357.259999990463,53.824385708879845,10.488088481701515,5.131953816254203
22,0.3455751918948773,19.8,1,0.05,0.0007853981633974483,0.045000000000000005,101,10855.469999790192,33.49463450288449,10.04987562112089,3.332840700286073
24,0.37699111843077515,21.6,1,0.05,0.0007853981633974483,0.045000000000000005,75,10802.680000305176,24.993797834645893,8.660254037844387,2.8860351815807785
26,0.4084070449666731,23.400000000000002,1,0.05,0.0007853981633974483,0.045000000000000005,98,18696.10000038147,18.87024566582344,9.899494936611665,1.9061826675656872
28,0.439822971502571,25.2,1,0.05,0.0007853981633974483,0.045000000000000005,56,18414.960000038147,10.947620847375306,7.483314773547883,1.4629373718279362
30,0.47123889803846897,27.0,1,0.05,0.0007853981633974483,0.045000000000000005,68,18083.07000017166,13.537524325110512,8.246211251235321,1.6416659618176197
35,0.5497787143782138,31.5,1,0.05,0.0007853981633974483,0.045000000000000005,110,43231.140000104904,9.160063787331055,10.488088481701515,0.8733778136323455
40,0.6283185307179586,36.0,1,0.05,0.0007853981633974483,0.045000000000000005,204,87105.02999997139,8.431200815845436,14.2828568570857,0.5903021293434536
