ALPIDE_step,ALPIDE_rad,ALPIDE_deg,ALPIDE_ev,ALPIDE_t,ALPIDE_r,ALPIDE_ev_err,ALPIDE_r_err
-72.76500547685802,-1.142990033222591,-65.48850492917222,0.0,0.0,0.0,0.0,0.0
-72.16857100573624,-1.1336212624584716,-64.95171390516262,0.0,0.0,0.0,0.0,0.0
-71.57213653461446,-1.1242524916943522,-64.41492288115302,0.0,0.0,0.0,0.0,0.0
-70.97570206349268,-1.1148837209302327,-63.878131857143416,0.0,0.0,0.0,0.0,0.0
-70.37926759237088,-1.105514950166113,-63.3413408331338,0.0,0.0,0.0,0.0,0.0
-69.7828331212491,-1.0961461794019933,-62.80454980912419,0.0,0.0,0.0,0.0,0.0
-69.18639865012732,-1.0867774086378739,-62.26775878511459,0.0,0.0,0.0,0.0,0.0
-68.58996417900553,-1.0774086378737542,-61.73096776110498,0.0,0.0,0.0,0.0,0.0
-67.99352970788374,-1.0680398671096345,-61.19417673709536,0.0,0.0,0.0,0.0,0.0
-67.39709523676196,-1.058671096345515,-60.65738571308576,0.0,0.0,0.0,0.0,0.0
-66.80066076564016,-1.0493023255813954,-60.12059468907615,0.0,0.0,0.0,0.0,0.0
-66.20422629451836,-1.0399335548172757,-59.58380366506653,0.0,0.0,0.0,0.0,0.0
-65.60779182339658,-1.0305647840531562,-59.04701264105693,0.0,0.0,0.0,0.0,0.0
-65.0113573522748,-1.0211960132890365,-58.51022161704732,0.0,0.0,0.0,0.0,0.0
-64.41492288115302,-1.0118272425249168,-57.97343059303771,0.0,0.0,0.0,0.0,0.0
-63.81848841003123,-1.0024584717607974,-57.43663956902811,0.0,0.0,0.0,0.0,0.0
-63.22205393890943,-0.9930897009966777,-56.89984854501849,0.0,0.0,0.0,0.0,0.0
-62.625619467787644,-0.983720930232558,-56.363057521008884,0.0,0.0,0.0,0.0,0.0
-62.02918499666586,-0.9743521594684385,-55.826266496999274,0.0,0.0,0.0,0.0,0.0
-61.43275052554407,-0.9649833887043188,-55.289475472989665,0.0,0.0,0.0,0.0,0.0
-60.836316054422284,-0.9556146179401992,-54.752684448980055,0.0,0.0,0.0,0.0,0.0
-60.239881583300495,-0.9462458471760796,-54.215893424970446,0.0,0.0,0.0,0.0,0.0
-59.643447112178706,-0.9368770764119599,-53.679102400960836,0.0,0.0,0.0,0.0,0.0
-59.047012641056924,-0.9275083056478405,-53.142311376951234,0.0,0.0,0.0,0.0,0.0
-58.45057816993513,-0.9181395348837207,-52.60552035294162,0.0,0.0,0.0,0.0,0.0
-57.854143698813346,-0.9087707641196012,-52.068729328932015,0.0,0.0,0.0,0.0,0.0
-57.257709227691564,-0.8994019933554817,-51.531938304922406,0.0,0.0,0.0,0.0,0.0
-56.661274756569775,-0.890033222591362,-50.995147280912796,0.0,0.0,0.0,0.0,0.0
-56.064840285447985,-0.8806644518272424,-50.45835625690319,0.0,0.0,0.0,0.0,0.0
-55.468405814326196,-0.8712956810631228,-49.92156523289358,0.0,0.0,0.0,0.0,0.0
-54.87197134320442,-0.8619269102990034,-49.38477420888398,0.0,0.0,0.0,0.0,0.0
-54.27553687208262,-0.8525581395348836,-48.84798318487436,0.0,0.0,0.0,0.0,0.0
-53.67910240096083,-0.8431893687707639,-48.31119216086475,0.0,0.0,0.0,0.0,0.0
-53.08266792983906,-0.8338205980066444,-47.774401136855154,0.0,0.0,0.0,0.0,0.0
-52.48623345871727,-0.8244518272425249,-47.237610112845545,0.0,0.0,0.0,0.0,0.0
-51.88979898759548,-0.8150830564784053,-46.700819088835935,0.0,0.0,0.0,0.0,0.0
-51.293364516473694,-0.8057142857142856,-46.164028064826326,0.0,0.0,0.0,0.0,0.0
